age,author_name,author_number,browser_codename,browser_detected,browser_name,browser_version,code_author_recog,confidence,correct_author_recog_response,correct_dutch_trial_lextale_response,correct_eng_trial_lextale_response,correct_fre_trial_lextale_response,correct_response,correct_response_author_recog,correct_response_mixed,correct_response_test,count_Stream_Test_sequence,date_startdate,date_startdateUTC,date_starttime,dutch_item,dutch_item_number,dutch_word_status,eng_item,eng_item_number,eng_word_status,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,exposure_stream,fre_item,fre_item_number,fre_word_status,global_test_counter,jatosCondition,jatosStudyResultId,jatosVersion,language,nr_correct,ntargets,phase,queryParams_SONA_ID,response_HP_test_question_key,response_OldNew_response,response_author_recog_response,response_behavior_screening_response,response_dutch_trial_lextale_response,response_eng_trial_lextale_response,response_fre_trial_lextale_response,response_gender_input,response_handedness_input,response_informed_consent_key,response_learn_disorder_input,response_mixed_OldNew_response,response_neuro_disorder_input,response_notes_response,response_smartphone_response,response_word_origin_response,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,set_origin,sona_participant_id,space_press_times,stimulus,stimulus_idx,stimulus_type,syllable_onset_time,system_os,target_onset_times,tdt_accuracy,tdt_mean_rt,tdt_total_hits,tdt_total_targets
19,None,None,Mozilla,None,Netscape,5.0 (Windows),None,None,None,None,None,None,2,None,None,None,None,06-02-26,06-02-26,10:41:02,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1047011,3.9.8,None,None,16,None,15511,2,None,None,None,None,None,None,a,r,y,j,None,n,None,None,None,816,1536,24,864,24,-7,-7,1536,None,15511,[],None,None,None,[],Win32,[],None,None,None,None
19,None,None,Mozilla,None,Netscape,5.0 (Windows),None,None,None,None,None,None,2,None,None,None,None,06-02-26,06-02-26,10:41:02,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1047011,3.9.8,None,None,16,None,15511,2,None,None,None,None,None,None,a,r,y,j,None,n,None,None,None,816,1536,24,864,24,-7,-7,1536,None,15511,[],None,None,None,[],Win32,[],None,None,None,None
19,None,None,Mozilla,None,Netscape,5.0 (Windows),None,None,None,None,None,None,3,None,None,None,None,06-02-26,06-02-26,10:41:02,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1047011,3.9.8,None,None,16,None,15511,3,None,None,None,None,None,None,a,r,y,j,None,n,None,None,None,816,1536,24,864,24,-7,-7,1536,None,15511,[],None,None,None,[],Win32,[],None,None,None,None
19,None,None,Mozilla,None,Netscape,5.0 (Windows),None,None,None,None,None,None,1,None,None,None,None,06-02-26,06-02-26,10:41:02,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1047011,3.9.8,None,None,16,None,15511,1,None,None,None,None,None,None,a,r,y,j,None,n,None,None,None,816,1536,24,864,24,-7,-7,1536,None,15511,[],None,None,None,[],Win32,[],None,None,None,None
19,None,None,Mozilla,None,Netscape,5.0 (Windows),None,None,None,None,None,None,1,None,None,None,None,06-02-26,06-02-26,10:41:02,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1047011,3.9.8,None,None,16,None,15511,1,None,None,None,None,None,None,a,r,y,j,None,n,None,None,None,816,1536,24,864,24,-7,-7,1536,None,15511,[],None,None,None,[],Win32,[],None,None,None,None
19,None,None,Mozilla,None,Netscape,5.0 (Windows),None,None,None,None,None,None,3,None,None,None,None,06-02-26,06-02-26,10:41:02,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1047011,3.9.8,None,None,16,None,15511,3,None,None,None,None,None,None,a,r,y,j,None,n,None,None,None,816,1536,24,864,24,-7,-7,1536,None,15511,[],None,None,None,[],Win32,[],None,None,None,None
19,None,None,Mozilla,None,Netscape,5.0 (Windows),None,None,None,None,None,None,None,None,None,None,0,06-02-26,06-02-26,10:41:02,None,None,None,None,None,None,0,0,0,0,0,"[8, 9, 4, 5, 0, 1, 14, 15, 6, 7, 12, 13, 10, 11, 2, 3, 12, 13, 99, 2, 3, 8, 9, 4, 5, 6, 7, 14, 15, 10, 11, 0, 1, 14, 15, 6, 7, 12, 13, 8, 9, 0, 1, 2, 3, 10, 11, 4, 5, 6, 7, 10, 11, 99, 2, 3, 4, 5, 14, 15, 12, 13, 0, 1, 8, 9, 14, 15, 8, 9, 4, 5, 12, 13, 0, 1, 10, 11, 2, 3, 99, 6, 7, 14, 15, 2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 0, 1, 4, 5, 6, 7, 12, 13, 99, 0, 1, 10, 11, 8, 9, 4, 5, 2, 3, 14, 15, 2, 3, 6, 7, 4, 5, 8, 9, 0, 1, 99, 14, 15, 10, 11, 12, 13, 14, 15, 6, 7, 8, 9, 10, 11, 4, 5, 0, 1, 2, 3, 12, 13, 8, 9, 2, 3, 14, 15, 99, 0, 1, 4, 5, 10, 11, 12, 13, 6, 7, 8, 9, 99, 6, 7, 2, 3, 14, 15, 4, 5, 12, 13, 0, 1, 10, 11, 4, 5, 0, 1, 8, 9, 99, 10, 11, 2, 3, 12, 13, 6, 7, 14, 15, 0, 1, 8, 9, 4, 5, 10, 11, 2, 3, 6, 7, 12, 13, 14, 15, 2, 3, 14, 15, 12, 13, 6, 7, 10, 11, 4, 5, 99, 0, 1, 8, 9, 12, 13, 2, 3, 0, 1, 99, 4, 5, 8, 9, 14, 15, 10, 11, 6, 7, 10, 11, 12, 13, 2, 3, 6, 7, 14, 15, 0, 1, 8, 9, 4, 5, 10, 11, 12, 13, 6, 7, 99, 2, 3, 4, 5, 8, 9, 14, 15, 0, 1, 12, 13, 14, 15, 6, 7, 2, 3, 8, 9, 10, 11, 99, 4, 5, 0, 1, 6, 7, 0, 1, 12, 13, 99, 14, 15, 10, 11, 4, 5, 2, 3, 8, 9, 0, 1, 2, 3, 14, 15, 4, 5, 6, 7, 12, 13, 10, 11, 8, 9, 4, 5, 12, 13, 6, 7, 99, 0, 1, 8, 9, 10, 11, 14, 15, 2, 3, 6, 7, 2, 3, 14, 15, 4, 5, 12, 13, 10, 11, 0, 1, 8, 9, 10, 11, 0, 1, 8, 9, 99, 14, 15, 12, 13, 4, 5, 2, 3, 6, 7, 12, 13, 6, 7, 8, 9, 14, 15, 99, 2, 3, 10, 11, 0, 1, 4, 5, 10, 11, 8, 9, 4, 5, 0, 1, 6, 7, 12, 13, 99, 14, 15, 2, 3, 0, 1, 8, 9, 2, 3, 6, 7, 12, 13, 10, 11, 14, 15, 4, 5]",None,None,None,0,L2_L1,1047011,3.9.8,L2,17,16,exposure_with_TDT,15511,None,None,None,None,None,None,None,a,r,y,j,None,n,None,None,None,816,1536,24,864,24,-7,-7,1536,None,15511,"[1772790365941, 1772790376118, 1772790380230, 1772790391462, 1772790400705, 1772790410022, 1772790417636, 1772790422009, 1772790427519, 1772790435778, 1772790451781, 1772790456187, 1772790469806, 1772790479316, 1772790483548, 1772790497456, 1772790510567, 1772790518779, 1772790526855]",None,None,None,"[1772790357896, 1772790358303, 1772790358711, 1772790359120, 1772790359529, 1772790359936, 1772790360345, 1772790360753, 1772790361162, 1772790361569, 1772790361978, 1772790362386, 1772790362795, 1772790363203, 1772790363611, 1772790364019, 1772790364428, 1772790364837, 1772790365244, 1772790365652, 1772790366061, 1772790366470, 1772790366878, 1772790367286, 1772790367694, 1772790368103, 1772790368511, 1772790368919, 1772790369328, 1772790369736, 1772790370144, 1772790370552, 1772790370961, 1772790371369, 1772790371778, 1772790372186, 1772790372594, 1772790373003, 1772790373411, 1772790373819, 1772790374228, 1772790374636, 1772790375044, 1772790375453, 1772790375861, 1772790376270, 1772790376678, 1772790377086, 1772790377494, 1772790377903, 1772790378311, 1772790378719, 1772790379127, 1772790379536, 1772790379944, 1772790380353, 1772790380761, 1772790381169, 1772790381577, 1772790381986, 1772790382394, 1772790382802, 1772790383210, 1772790383620, 1772790384027, 1772790384435, 1772790384844, 1772790385252, 1772790385661, 1772790386069, 1772790386477, 1772790386886, 1772790387294, 1772790387702, 1772790388110, 1772790388519, 1772790388928, 1772790389336, 1772790389744, 1772790390153, 1772790390561, 1772790390969, 1772790391377, 1772790391785, 1772790392194, 1772790392602, 1772790393010, 1772790393419, 1772790393827, 1772790394235, 1772790394643, 1772790395052, 1772790395460, 1772790395870, 1772790396277, 1772790396685, 1772790397094, 1772790397502, 1772790397911, 1772790398319, 1772790398727, 1772790399136, 1772790399543, 1772790399952, 1772790400360, 1772790400768, 1772790401177, 1772790401585, 1772790401993, 1772790402402, 1772790402810, 1772790403219, 1772790403627, 1772790404035, 1772790404444, 1772790404852, 1772790405260, 1772790405668, 1772790406077, 1772790406485, 1772790406893, 1772790407302, 1772790407710, 1772790408119, 1772790408527, 1772790408935, 1772790409343, 1772790409752, 1772790410160, 1772790410568, 1772790410977, 1772790411385, 1772790411794, 1772790412202, 1772790412610, 1772790413018, 1772790413427, 1772790413835, 1772790414243, 1772790414652, 1772790415060, 1772790415468, 1772790415877, 1772790416285, 1772790416693, 1772790417101, 1772790417510, 1772790417919, 1772790418326, 1772790418735, 1772790419144, 1772790419551, 1772790419960, 1772790420369, 1772790420776, 1772790421185, 1772790421594, 1772790422001, 1772790422410, 1772790422818, 1772790423227, 1772790423635, 1772790424043, 1772790424451, 1772790424860, 1772790425268, 1772790425678, 1772790426085, 1772790426494, 1772790426901, 1772790427310, 1772790427718, 1772790428126, 1772790428535, 1772790428943, 1772790429352, 1772790429760, 1772790430168, 1772790430576, 1772790430985, 1772790431393, 1772790431801, 1772790432210, 1772790432618, 1772790433027, 1772790433434, 1772790433843, 1772790434252, 1772790434660, 1772790435068, 1772790435476, 1772790435884, 1772790436293, 1772790436701, 1772790437110, 1772790437518, 1772790437926, 1772790438335, 1772790438743, 1772790439151, 1772790439560, 1772790439968, 1772790440376, 1772790440784, 1772790441193, 1772790441601, 1772790442010, 1772790442418, 1772790442827, 1772790443234, 1772790443643, 1772790444052, 1772790444460, 1772790444868, 1772790445277, 1772790445684, 1772790446093, 1772790446501, 1772790446910, 1772790447318, 1772790447726, 1772790448134, 1772790448543, 1772790448951, 1772790449359, 1772790449768, 1772790450176, 1772790450584, 1772790450993, 1772790451402, 1772790451809, 1772790452217, 1772790452626, 1772790453035, 1772790453443, 1772790453851, 1772790454259, 1772790454667, 1772790455076, 1772790455484, 1772790455893, 1772790456301, 1772790456709, 1772790457118, 1772790457526, 1772790457934, 1772790458343, 1772790458752, 1772790459160, 1772790459568, 1772790459976, 1772790460384, 1772790460792, 1772790461201, 1772790461609, 1772790462018, 1772790462426, 1772790462835, 1772790463243, 1772790463651, 1772790464060, 1772790464467, 1772790464876, 1772790465284, 1772790465693, 1772790466101, 1772790466509, 1772790466917, 1772790467326, 1772790467734, 1772790468142, 1772790468550, 1772790468959, 1772790469367, 1772790469776, 1772790470184, 1772790470592, 1772790471001, 1772790471409, 1772790471817, 1772790472225, 1772790472634, 1772790473042, 1772790473451, 1772790473859, 1772790474267, 1772790474676, 1772790475084, 1772790475493, 1772790475901, 1772790476309, 1772790476717, 1772790477125, 1772790477534, 1772790477942, 1772790478350, 1772790478759, 1772790479167, 1772790479575, 1772790479984, 1772790480393, 1772790480801, 1772790481209, 1772790481617, 1772790482026, 1772790482433, 1772790482842, 1772790483250, 1772790483659, 1772790484067, 1772790484475, 1772790484883, 1772790485292, 1772790485700, 1772790486108, 1772790486517, 1772790486925, 1772790487333, 1772790487742, 1772790488150, 1772790488559, 1772790488967, 1772790489376, 1772790489784, 1772790490192, 1772790490601, 1772790491009, 1772790491417, 1772790491825, 1772790492234, 1772790492642, 1772790493050, 1772790493458, 1772790493867, 1772790494275, 1772790494683, 1772790495092, 1772790495500, 1772790495909, 1772790496317, 1772790496725, 1772790497134, 1772790497542, 1772790497950, 1772790498359, 1772790498766, 1772790499175, 1772790499584, 1772790499991, 1772790500400, 1772790500808, 1772790501216, 1772790501625, 1772790502033, 1772790502442, 1772790502850, 1772790503258, 1772790503667, 1772790504075, 1772790504484, 1772790504892, 1772790505301, 1772790505708, 1772790506117, 1772790506525, 1772790506934, 1772790507342, 1772790507750, 1772790508158, 1772790508566, 1772790508975, 1772790509384, 1772790509792, 1772790510200, 1772790510608, 1772790511016, 1772790511425, 1772790511833, 1772790512241, 1772790512650, 1772790513058, 1772790513467, 1772790513875, 1772790514283, 1772790514692, 1772790515100, 1772790515508, 1772790515916, 1772790516324, 1772790516733, 1772790517142, 1772790517549, 1772790517958, 1772790518366, 1772790518775, 1772790519183, 1772790519591, 1772790520000, 1772790520408, 1772790520816, 1772790521225, 1772790521633, 1772790522041, 1772790522450, 1772790522858, 1772790523267, 1772790523675, 1772790524083, 1772790524491, 1772790524899, 1772790525308, 1772790525717, 1772790526124, 1772790526533, 1772790526942, 1772790527350]",Win32,"[1772790365244, 1772790379536, 1772790390561, 1772790399952, 1772790409343, 1772790421185, 1772790426494, 1772790435068, 1772790450993, 1772790455484, 1772790468959, 1772790478350, 1772790482842, 1772790496317, 1772790509792, 1772790517549, 1772790526124]",100,833.4117647058823,17,17
19,None,None,Mozilla,None,Netscape,5.0 (Windows),None,6,None,None,None,None,None,None,None,k,0,06-02-26,06-02-26,10:41:02,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,1,L2_L1,1047011,3.9.8,L2,None,None,OldNew_test,15511,None,d,None,None,None,None,None,a,r,y,j,None,n,None,None,None,816,1536,24,864,24,-7,-7,1536,2,15511,None,le_vo_test,27,nonword,None,Win32,None,None,None,None,None
19,None,None,Mozilla,None,Netscape,5.0 (Windows),None,6,None,None,None,None,None,None,None,k,0,06-02-26,06-02-26,10:41:02,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,2,L2_L1,1047011,3.9.8,L2,None,None,OldNew_test,15511,None,d,None,None,None,None,None,a,r,y,j,None,n,None,None,None,816,1536,24,864,24,-7,-7,1536,2,15511,None,no_jo_test,29,nonword,None,Win32,None,None,None,None,None
19,None,None,Mozilla,None,Netscape,5.0 (Windows),None,6,None,None,None,None,None,None,None,d,0,06-02-26,06-02-26,10:41:02,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,3,L2_L1,1047011,3.9.8,L2,None,None,OldNew_test,15511,None,d,None,None,None,None,None,a,r,y,j,None,n,None,None,None,816,1536,24,864,24,-7,-7,1536,2,15511,None,nu_bu_test,23,pseudoword,None,Win32,None,None,None,None,None
