age,author_name,author_number,browser_codename,browser_detected,browser_name,browser_version,code_author_recog,confidence,correct_author_recog_response,correct_dutch_trial_lextale_response,correct_eng_trial_lextale_response,correct_fre_trial_lextale_response,correct_response,correct_response_author_recog,correct_response_mixed,correct_response_test,count_Stream_Test_sequence,date_startdate,date_startdateUTC,date_starttime,dutch_item,dutch_item_number,dutch_word_status,eng_item,eng_item_number,eng_word_status,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,exposure_stream,fre_item,fre_item_number,fre_word_status,global_test_counter,jatosCondition,jatosStudyResultId,jatosVersion,language,nr_correct,ntargets,phase,queryParams_SONA_ID,response_HP_test_question_key,response_OldNew_response,response_author_recog_response,response_behavior_screening_response,response_dutch_trial_lextale_response,response_eng_trial_lextale_response,response_fre_trial_lextale_response,response_gender_input,response_handedness_input,response_informed_consent_key,response_learn_disorder_input,response_mixed_OldNew_response,response_neuro_disorder_input,response_notes_response,response_smartphone_response,response_word_origin_response,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,set_origin,sona_participant_id,space_press_times,stimulus,stimulus_idx,stimulus_type,syllable_onset_time,system_os,target_onset_times,tdt_accuracy,tdt_mean_rt,tdt_total_hits,tdt_total_targets
21,None,None,Mozilla,None,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",None,None,None,None,None,None,1,None,None,None,None,06-02-26,06-02-26,17:25:32,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1047346,3.9.8,None,None,16,None,16762,1,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,1074,1710,30,1107,30,0,125,1710,None,16762,[],None,None,None,[],MacIntel,[],None,None,None,None
21,None,None,Mozilla,None,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",None,None,None,None,None,None,2,None,None,None,None,06-02-26,06-02-26,17:25:32,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1047346,3.9.8,None,None,16,None,16762,2,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,1074,1710,30,1107,30,0,125,1710,None,16762,[],None,None,None,[],MacIntel,[],None,None,None,None
21,None,None,Mozilla,None,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",None,None,None,None,None,None,1,None,None,None,None,06-02-26,06-02-26,17:25:32,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1047346,3.9.8,None,None,16,None,16762,1,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,1074,1710,30,1107,30,0,125,1710,None,16762,[],None,None,None,[],MacIntel,[],None,None,None,None
21,None,None,Mozilla,None,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",None,None,None,None,None,None,3,None,None,None,None,06-02-26,06-02-26,17:25:32,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1047346,3.9.8,None,None,16,None,16762,3,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,1074,1710,30,1107,30,0,125,1710,None,16762,[],None,None,None,[],MacIntel,[],None,None,None,None
21,None,None,Mozilla,None,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",None,None,None,None,None,None,3,None,None,None,None,06-02-26,06-02-26,17:25:32,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1047346,3.9.8,None,None,16,None,16762,3,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,1074,1710,30,1107,30,0,125,1710,None,16762,[],None,None,None,[],MacIntel,[],None,None,None,None
21,None,None,Mozilla,None,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",None,None,None,None,None,None,2,None,None,None,None,06-02-26,06-02-26,17:25:32,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,0,L2_L1,1047346,3.9.8,None,None,16,None,16762,2,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,1074,1710,30,1107,30,0,125,1710,None,16762,[],None,None,None,[],MacIntel,[],None,None,None,None
21,None,None,Mozilla,None,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",None,None,None,None,None,None,None,None,None,None,0,06-02-26,06-02-26,17:25:32,None,None,None,None,None,None,0,0,0,0,0,"[2, 3, 0, 1, 10, 11, 8, 9, 6, 7, 4, 5, 12, 13, 14, 15, 6, 7, 12, 13, 2, 3, 14, 15, 10, 11, 99, 4, 5, 0, 1, 8, 9, 6, 7, 4, 5, 8, 9, 2, 3, 10, 11, 14, 15, 0, 1, 12, 13, 99, 14, 15, 12, 13, 10, 11, 0, 1, 6, 7, 4, 5, 2, 3, 8, 9, 4, 5, 99, 10, 11, 12, 13, 8, 9, 2, 3, 14, 15, 0, 1, 6, 7, 0, 1, 8, 9, 6, 7, 99, 14, 15, 2, 3, 12, 13, 4, 5, 10, 11, 12, 13, 2, 3, 8, 9, 6, 7, 0, 1, 14, 15, 4, 5, 10, 11, 99, 8, 9, 14, 15, 10, 11, 6, 7, 4, 5, 2, 3, 0, 1, 12, 13, 2, 3, 6, 7, 0, 1, 14, 15, 4, 5, 99, 8, 9, 12, 13, 10, 11, 0, 1, 4, 5, 14, 15, 6, 7, 2, 3, 12, 13, 10, 11, 8, 9, 4, 5, 8, 9, 99, 14, 15, 2, 3, 10, 11, 0, 1, 6, 7, 12, 13, 6, 7, 12, 13, 4, 5, 0, 1, 99, 10, 11, 8, 9, 2, 3, 14, 15, 0, 1, 2, 3, 4, 5, 12, 13, 14, 15, 10, 11, 8, 9, 99, 6, 7, 12, 13, 6, 7, 2, 3, 8, 9, 10, 11, 14, 15, 4, 5, 0, 1, 10, 11, 6, 7, 14, 15, 99, 2, 3, 0, 1, 12, 13, 8, 9, 4, 5, 0, 1, 14, 15, 12, 13, 8, 9, 6, 7, 10, 11, 2, 3, 4, 5, 0, 1, 2, 3, 12, 13, 99, 14, 15, 10, 11, 8, 9, 6, 7, 99, 4, 5, 8, 9, 0, 1, 2, 3, 12, 13, 4, 5, 6, 7, 14, 15, 10, 11, 2, 3, 0, 1, 14, 15, 6, 7, 4, 5, 12, 13, 10, 11, 8, 9, 6, 7, 8, 9, 99, 12, 13, 4, 5, 0, 1, 2, 3, 14, 15, 10, 11, 8, 9, 0, 1, 99, 4, 5, 6, 7, 12, 13, 2, 3, 14, 15, 10, 11, 12, 13, 10, 11, 6, 7, 0, 1, 2, 3, 99, 4, 5, 14, 15, 8, 9, 12, 13, 4, 5, 0, 1, 2, 3, 8, 9, 14, 15, 6, 7, 10, 11, 8, 9, 2, 3, 0, 1, 4, 5, 99, 12, 13, 6, 7, 10, 11, 14, 15, 4, 5, 8, 9, 2, 3, 14, 15, 99, 10, 11, 0, 1, 12, 13, 6, 7, 14, 15, 4, 5, 12, 13, 6, 7, 0, 1, 10, 11, 2, 3, 8, 9]",None,None,None,0,L2_L1,1047346,3.9.8,L2,17,16,exposure_with_TDT,16762,None,None,None,None,None,None,None,v,r,y,n,None,n,None,None,None,1074,1710,30,1107,30,0,125,1710,None,16762,"[1772815738820, 1772815748267, 1772815756353, 1772815764862, 1772815776160, 1772815787595, 1772815798682, 1772815807630, 1772815817016, 1772815827483, 1772815841217, 1772815845215, 1772815852945, 1772815861449, 1772815868508, 1772815878116, 1772815890807, 1772815898190]",None,None,None,"[1772815727160, 1772815727574, 1772815727992, 1772815728408, 1772815728824, 1772815729241, 1772815729657, 1772815730074, 1772815730491, 1772815730908, 1772815731324, 1772815731741, 1772815732157, 1772815732574, 1772815732991, 1772815733407, 1772815733824, 1772815734241, 1772815734658, 1772815735074, 1772815735491, 1772815735907, 1772815736324, 1772815736741, 1772815737157, 1772815737574, 1772815737991, 1772815738408, 1772815738824, 1772815739241, 1772815739658, 1772815740075, 1772815740491, 1772815740908, 1772815741325, 1772815741741, 1772815742158, 1772815742574, 1772815742991, 1772815743408, 1772815743825, 1772815744241, 1772815744658, 1772815745074, 1772815745491, 1772815745907, 1772815746325, 1772815746741, 1772815747157, 1772815747574, 1772815747991, 1772815748408, 1772815748824, 1772815749241, 1772815749657, 1772815750074, 1772815750491, 1772815750907, 1772815751324, 1772815751741, 1772815752158, 1772815752574, 1772815752991, 1772815753408, 1772815753824, 1772815754241, 1772815754657, 1772815755074, 1772815755491, 1772815755908, 1772815756324, 1772815756741, 1772815757158, 1772815757574, 1772815757991, 1772815758408, 1772815758824, 1772815759241, 1772815759658, 1772815760074, 1772815760491, 1772815760908, 1772815761325, 1772815761741, 1772815762158, 1772815762575, 1772815762991, 1772815763407, 1772815763824, 1772815764241, 1772815764657, 1772815765074, 1772815765491, 1772815765908, 1772815766324, 1772815766741, 1772815767158, 1772815767574, 1772815767991, 1772815768408, 1772815768825, 1772815769241, 1772815769658, 1772815770074, 1772815770491, 1772815770908, 1772815771325, 1772815771741, 1772815772158, 1772815772575, 1772815772991, 1772815773408, 1772815773824, 1772815774241, 1772815774658, 1772815775075, 1772815775491, 1772815775908, 1772815776325, 1772815776741, 1772815777158, 1772815777575, 1772815777991, 1772815778408, 1772815778825, 1772815779241, 1772815779659, 1772815780075, 1772815780491, 1772815780908, 1772815781325, 1772815781741, 1772815782158, 1772815782574, 1772815782991, 1772815783408, 1772815783825, 1772815784239, 1772815784658, 1772815785074, 1772815785491, 1772815785908, 1772815786324, 1772815786741, 1772815787157, 1772815787574, 1772815787991, 1772815788408, 1772815788824, 1772815789241, 1772815789658, 1772815790074, 1772815790491, 1772815790909, 1772815791324, 1772815791741, 1772815792158, 1772815792575, 1772815792991, 1772815793407, 1772815793824, 1772815794241, 1772815794658, 1772815795075, 1772815795491, 1772815795908, 1772815796325, 1772815796741, 1772815797158, 1772815797575, 1772815797991, 1772815798408, 1772815798825, 1772815799241, 1772815799658, 1772815800074, 1772815800491, 1772815800908, 1772815801325, 1772815801741, 1772815802158, 1772815802575, 1772815802991, 1772815803408, 1772815803824, 1772815804241, 1772815804658, 1772815805075, 1772815805491, 1772815805908, 1772815806325, 1772815806741, 1772815807158, 1772815807575, 1772815807991, 1772815808408, 1772815808825, 1772815809241, 1772815809659, 1772815810075, 1772815810492, 1772815810908, 1772815811325, 1772815811741, 1772815812158, 1772815812575, 1772815812991, 1772815813408, 1772815813825, 1772815814242, 1772815814658, 1772815815075, 1772815815492, 1772815815908, 1772815816325, 1772815816742, 1772815817159, 1772815817575, 1772815817993, 1772815818408, 1772815818825, 1772815819241, 1772815819658, 1772815820075, 1772815820492, 1772815820908, 1772815821325, 1772815821742, 1772815822158, 1772815822575, 1772815822992, 1772815823408, 1772815823825, 1772815824242, 1772815824658, 1772815825075, 1772815825492, 1772815825908, 1772815826325, 1772815826742, 1772815827159, 1772815827575, 1772815827992, 1772815828408, 1772815828825, 1772815829242, 1772815829658, 1772815830075, 1772815830492, 1772815830910, 1772815831325, 1772815831742, 1772815832158, 1772815832575, 1772815832992, 1772815833409, 1772815833825, 1772815834242, 1772815834659, 1772815835075, 1772815835492, 1772815835908, 1772815836326, 1772815836742, 1772815837159, 1772815837576, 1772815837992, 1772815838408, 1772815838825, 1772815839242, 1772815839658, 1772815840075, 1772815840492, 1772815840908, 1772815841326, 1772815841742, 1772815842159, 1772815842575, 1772815842992, 1772815843409, 1772815843825, 1772815844242, 1772815844659, 1772815845075, 1772815845492, 1772815845908, 1772815846325, 1772815846742, 1772815847159, 1772815847575, 1772815847992, 1772815848409, 1772815848825, 1772815849242, 1772815849659, 1772815850075, 1772815850492, 1772815850909, 1772815851325, 1772815851742, 1772815852159, 1772815852575, 1772815852992, 1772815853409, 1772815853825, 1772815854242, 1772815854659, 1772815855075, 1772815855492, 1772815855909, 1772815856325, 1772815856742, 1772815857159, 1772815857575, 1772815857992, 1772815858409, 1772815858825, 1772815859242, 1772815859660, 1772815860075, 1772815860492, 1772815860909, 1772815861325, 1772815861742, 1772815862159, 1772815862576, 1772815862992, 1772815863409, 1772815863825, 1772815864242, 1772815864659, 1772815865075, 1772815865492, 1772815865909, 1772815866326, 1772815866742, 1772815867159, 1772815867576, 1772815867992, 1772815868409, 1772815868825, 1772815869242, 1772815869660, 1772815870075, 1772815870492, 1772815870909, 1772815871327, 1772815871742, 1772815872159, 1772815872576, 1772815872992, 1772815873409, 1772815873826, 1772815874242, 1772815874659, 1772815875076, 1772815875492, 1772815875909, 1772815876325, 1772815876742, 1772815877159, 1772815877576, 1772815877993, 1772815878410, 1772815878826, 1772815879242, 1772815879659, 1772815880076, 1772815880492, 1772815880910, 1772815881326, 1772815881742, 1772815882159, 1772815882576, 1772815882992, 1772815883409, 1772815883826, 1772815884242, 1772815884660, 1772815885076, 1772815885493, 1772815885910, 1772815886326, 1772815886743, 1772815887159, 1772815887576, 1772815887993, 1772815888409, 1772815888826, 1772815889243, 1772815889659, 1772815890076, 1772815890492, 1772815890909, 1772815891326, 1772815891742, 1772815892160, 1772815892576, 1772815892993, 1772815893409, 1772815893826, 1772815894242, 1772815894659, 1772815895076, 1772815895493, 1772815895909, 1772815896326, 1772815896743, 1772815897159, 1772815897576, 1772815897992, 1772815898409, 1772815898826, 1772815899242, 1772815899660, 1772815900076]",MacIntel,"[1772815737991, 1772815747574, 1772815755491, 1772815764241, 1772815775491, 1772815786741, 1772815797991, 1772815806741, 1772815816325, 1772815826742, 1772815840492, 1772815844242, 1772815860492, 1772815867576, 1772815877159, 1772815890076, 1772815897159]",100,814.4705882352941,17,17
21,None,None,Mozilla,None,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",None,4,None,None,None,None,None,None,None,k,0,06-02-26,06-02-26,17:25:32,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,1,L2_L1,1047346,3.9.8,L2,None,None,OldNew_test,16762,None,k,None,None,None,None,None,v,r,y,n,None,n,None,None,None,1074,1710,30,1107,30,0,125,1710,2,16762,None,wi_bu_test,31,nonword,None,MacIntel,None,None,None,None,None
21,None,None,Mozilla,None,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",None,3,None,None,None,None,None,None,None,k,0,06-02-26,06-02-26,17:25:32,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,2,L2_L1,1047346,3.9.8,L2,None,None,OldNew_test,16762,None,k,None,None,None,None,None,v,r,y,n,None,n,None,None,None,1074,1710,30,1107,30,0,125,1710,2,16762,None,nu_di_test,30,nonword,None,MacIntel,None,None,None,None,None
21,None,None,Mozilla,None,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",None,6,None,None,None,None,None,None,None,k,0,06-02-26,06-02-26,17:25:32,None,None,None,None,None,None,0,0,0,0,0,None,None,None,None,3,L2_L1,1047346,3.9.8,L2,None,None,OldNew_test,16762,None,d,None,None,None,None,None,v,r,y,n,None,n,None,None,None,1074,1710,30,1107,30,0,125,1710,2,16762,None,lu_fo_test,28,nonword,None,MacIntel,None,None,None,None,None
